sample: 100%|██████████| 3000/3000 [1:23:46<00:00,  1.68s/it, 1023 steps of size 2.07e-03. acc. prob=0.83]

                                    mean       std    median      5.0%     95.0%     n_eff     r_hat
      transcriptome/switch[20]      0.50      0.29      0.51      0.01      0.89    530.26      1.00
      transcriptome/switch[21]      0.52      0.28      0.53      0.12      1.00    555.64      1.00
      transcriptome/switch[22]      0.51      0.01      0.51      0.50      0.52    587.50      1.00
      transcriptome/switch[23]      0.52      0.29      0.53      0.10      1.00    467.79      1.00
      transcriptome/switch[24]      0.52      0.28      0.52      0.10      0.98    602.18      1.00
      transcriptome/switch[25]      0.51      0.01      0.51      0.50      0.52    338.97      1.00
      transcriptome/switch[26]      0.51      0.29      0.52      0.09      1.00    537.32      1.00
      transcriptome/switch[27]      0.50      0.29      0.50      0.02      0.91    726.61      1.00
      transcriptome/switch[28]      0.52      0.01      0.52      0.50      0.53    534.34      1.00
      transcriptome/switch[29]      0.51      0.01      0.51      0.50      0.53    607.21      1.00
